id,author,full_name,ori_name,work1,work2,work3
0,1678,1678,1678,对不起这位是语擦女,,
1,4201,4201,4201,对不起这位是语擦女,,
2,4680,4680,4680,对不起这位是语擦女,,
3,一维,一维,一维,对不起这位是语擦女,,
4,J.K.罗琳,J.K.罗琳,J. K. Rowling,哈利·波特与凤凰社,哈利·波特与死亡圣器,哈利·波特与魔法石
5,T·S·艾略特,T·S·艾略特,T. S. Eliot,荒原,,
6,三岛由纪夫,三岛由纪夫,三島由紀夫,假面的告白,金阁寺,
7,上野千鹤子,上野千鹤子,上野 千鶴子,厌女,始于极限：女性主义往复书简,
8,东野圭吾,东野圭吾,東野 圭吾,嫌疑人X的献身,白夜行,解忧杂货店
9,丹·布朗,丹·布朗,Dan Brown,达·芬奇密码,数字城堡,地狱
10,丹尼尔·凯斯,丹尼尔·凯斯,Daniel Keyes,献给阿尔杰农的花,,
11,丹尼尔·笛福,丹尼尔·笛福,Daniel Defoe,鲁滨逊漂流记,,
12,乔伊斯,詹姆斯·乔伊斯,James Joyce,一个青年艺术家的画像,尤利西斯,
13,乔叟,杰弗雷·乔叟,Geoffrey Chaucer,坎特伯雷故事集,,
14,乔治·奥威尔,乔治·奥威尔,George Orwell,1984,动物庄园,缅甸岁月
15,乔治·马丁,乔治·马丁,George R. R. Martin,冰与火之歌,,
16,乔纳森·斯威夫特,乔纳森·斯威夫特,Jonathan Swift,格列佛游记,,
17,亨利·大卫·梭罗,亨利·大卫·梭罗,Henry David Thoreau,瓦尔登湖,,
18,伍迪·艾伦,伍迪·艾伦,Woody Allen,门萨的娼妓,,
19,伏尼契,艾捷尔·丽莲·伏尼契,Ethel Lilian Voynich,牛虻,,
20,但丁,但丁,Dante Alighieri,神曲,,
21,儒勒·凡尔纳,儒勒·凡尔纳,Jules Verne,八十天环游地球,海底两万里,神秘岛
22,列夫·托尔斯泰,列夫·托尔斯泰,Leo Tolstoy,安娜·卡列尼娜,战争与和平,
23,刘易斯·卡罗尔,刘易斯·卡罗尔,Lewis Carroll ,爱丽丝漫游奇境记,爱丽丝镜中漫游记,
24,加缪,阿尔贝·加缪,Albert Camus,局外人,西西弗神话,鼠疫
25,加西亚·马尔克斯,加西亚·马尔克斯,Gabriel Garcia Marquez,百年孤独,迷宫中的将军,霍乱时期的爱情
26,博尔赫斯,豪尔赫·路易斯·博尔赫斯,Jorge Luis Borges,小径分叉的花园,沙之书,环形废墟
27,卡勒德·胡赛尼,卡勒德·胡赛尼,Khaled Hosseini,追风筝的人,灿烂千阳,群山回唱
28,卡夫卡,弗朗茨·卡夫卡,Franz Kafka,变形记,审判,卡夫卡短篇集
29,司汤达,司汤达,Stendhal,红与黑,司汤达短篇小说选,
30,埃克多·马洛,埃克多·马洛,Hector Malot,苦儿流浪记,,
31,埃莱娜·费兰特,埃莱娜·费兰特,Elena Ferrante,那不勒斯四部曲,,
32,塞万提斯,米格尔·德·塞万提斯,Miguel de Cervantes,堂吉诃德,,
33,塞林格,杰罗姆·大卫·塞林格,J. D. Salinger,麦田里的守望者,,
34,夏多布里昂,夏多布里昂,Francois-Rene de Chateaubriand,阿达拉,,
35,夏洛蒂·勃朗特,夏洛蒂·勃朗特,Charlotte Brontë,简爱,,
36,大仲马,大仲马,Alexandre Dumas,基督山伯爵,三个火枪手,
37,大卫·米切尔,大卫·米切尔,David Mitchell,云图,,
38,大卫·赫伯特·劳伦斯,大卫·赫伯特·劳伦斯,D. H. Lawrence,嫉妒,恋爱中的女人,
39,太宰治,太宰治,太宰治,人间失格,斜阳,跑吧美乐斯
40,契诃夫,安东·契诃夫,Anton Chekhov,第六病室,装在套子里的人,跳来跳去的女人
41,奥尔德斯·赫胥黎,阿道司·赫胥黎,Aldous Huxley,美丽新世界,,
42,奥斯特洛夫斯基,尼古拉·奥斯特洛夫斯基,Nikolai Ostrovsky,钢铁是怎样炼成的,,
43,姜峯楠,姜峯楠,Ted Chiang,七十二个字母,你一生的故事,
44,小仲马,小仲马,Alexandre Dumas,茶花女,,
45,尼尔·盖曼,尼尔·盖曼,Neil Gaiman,好兆头,美国众神,北欧众神
46,屠格涅夫,伊万·屠格涅夫,Ivan Turgenev,春潮,父与子,猎人笔记
47,岩井俊二,岩井俊二,岩井 俊二,情书,,
48,川端康成,川端康成,川端康成,山之音,湖,美好的旅行
49,巴尔扎克,奥诺雷·德·巴尔扎克,Honore de Balzac,交际花盛衰记,高老头,
50,席勒,弗里德里希·席勒,Friedrich Schiller,阴谋与爱情,,
51,弗兰克·赫伯特,弗兰克·赫伯特,Frank Herbert,沙丘,,
